Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
з/д Спецавтоматика,"64, 32",,,,47.21004,39.59774,"420569,028237524","2195142,2066429"
з/д Спецавтоматика,"64, 32",,,,47.21009,39.59771,"420574,627210238","2195140,03265946"
"Завод ""Алмаз""",69,,,,47.28147,39.80345,"428254,043251831","2210846,09195579"
"Завод ""Алмаз""","69a, 42а, 42, 35а, 35, 3а",,,"95, 93, 59, 58, 24",47.28152,39.8046,"428258,285818698","2210933,1785692"
"Завод ""Копнитель""","90, 89, 54, 28, 18л",,,79,47.275,39.76387,"427580,826512433","2207840,44109728"
"Завод ""Копнитель""","89, 54, 22, 18п",,,79,47.27522,39.76417,"427604,929846431","2207863,52262679"
"Завод ""Решета""","90, 18л",,,79,47.27947,39.76837,"428072,459794051","2208188,67158397"
"Завод ""Решета""","54, 22",,,,47.27951,39.76875,"428076,458781783","2208217,49059479"
"Завод ""Рубин""",,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.2335,39.73809,"422997,947626115","2205816,17019856"
"Завод ""Рубин""",,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.23327,39.7378,"422972,72829277","2205793,80240841"
"завод ""Эмпилс""",,,,71,47.25405,39.59708,"425462,63431362","2195179,14458188"
"завод ""Юг Авто Ремонт""","36, 28",,,"92, 90, 44",47.28831,39.78329,"429037,758011725","2209332,60626363"
"завод ""Юг Авто Ремонт""","36, 28",,,"92, 90, 44",47.28855,39.78361,"429064,067286382","2209357,22320882"
Заводская,7,,9,"95, 93",47.26256,39.81017,"426144,063903781","2211322,85684801"
